mapping, replan, sfc, mpc, df, 
0, 0.000259, 0.010945, 4.03726, 0.007037, 
0, 0.000185, 0.024352, 3.64159, 0.00587, 
0, 0.000204, 0.02813, 3.47033, 0.00676, 
0, 0.000222, 0.00687, 6.29246, 0.008778, 
5.37865, 0.000315, 0.004778, 3.80181, 0.006185, 
0, 0.000204, 0.005519, 3.62543, 0.006408, 
0, 0.000203, 0.006074, 3.92002, 0.006111, 
0, 0.000333, 0.006352, 3.22526, 0.007629, 
0, 0.000204, 0.005445, 3.30287, 0.005908, 
0, 0.000222, 0.005037, 3.5448, 0.009037, 
0, 0.000204, 0.006055, 3.93369, 0.006389, 
0, 0.000185, 0.005908, 3.99404, 0.007315, 
0, 0.000222, 0.005333, 4.39182, 0.005981, 
5.27693, 0.000204, 0.028778, 4.16454, 0.006889, 
0, 0.000297, 0.005315, 3.41693, 0.006277, 
0, 0.000204, 0.005852, 3.32387, 0.006388, 
0, 0.000315, 0.005556, 4.47435, 0.123296, 
0, 0.000204, 0.005092, 3.60682, 0.006944, 
0, 0.000315, 0.012037, 4.09211, 0.005889, 
0, 0.000222, 0.005056, 3.24583, 0.009389, 
0, 0.000259, 0.006315, 4.13537, 0.006389, 
0, 0.00024, 0.005204, 3.85445, 0.006574, 
0, 0.000223, 0.006037, 3.98006, 0.006371, 
0, 0.000204, 0.006167, 4.79094, 0.007778, 
5.62869, 0.00026, 0.005222, 3.79533, 0.006389, 
0, 0.000222, 0.006018, 3.54393, 0.006222, 
0, 0.000185, 0.005389, 3.4367, 0.006574, 
0, 0.000186, 0.004945, 3.61335, 0.007074, 
0, 0.000296, 0.005037, 3.27593, 0.006277, 
0, 0.000167, 0.004981, 3.60189, 0.008111, 
0, 0.000222, 0.006, 3.94226, 0.006426, 
0, 0.000241, 0.006186, 4.80883, 0.006204, 
0, 0.000222, 0.005315, 4.7813, 0.007685, 
0, 0.000314, 0.007833, 4.86456, 0.007112, 
0, 0.000277, 0.005685, 3.16411, 0.006389, 
10.4296, 0.000204, 0.005574, 3.33561, 0.006, 
0, 0.000185, 0.005667, 3.05469, 0.025389, 
0, 0.000186, 0.005055, 2.9853, 0.007166, 
0, 0.000185, 0.005315, 3.23139, 0.007852, 
0, 0.000222, 0.00526, 3.06739, 0.010519, 
0, 0.000222, 0.005333, 3.56194, 0.007074, 
0, 0.000185, 0.0055, 3.80332, 0.006833, 
0, 0.000204, 0.005019, 3.61526, 0.006463, 
0, 0.000278, 0.005389, 3.86869, 0.006241, 
7.8465, 0.000185, 0.005592, 3.15265, 0.006611, 
0, 0.000223, 0.005888, 3.21402, 0.006482, 
0, 0.000259, 0.006592, 4.3417, 0.008944, 
0, 0.000204, 0.006222, 3.31857, 0.009981, 
0, 0.00024, 0.006167, 3.26087, 0.006907, 
0, 0.000259, 0.005222, 4.93398, 0.010352, 
0, 0.000445, 0.006629, 3.44624, 0.010963, 
0, 0.000241, 0.005945, 3.2778, 0.006796, 
0, 0.000482, 0.006351, 3.70456, 0.0085, 
0, 0.000277, 0.006204, 5.45641, 0.007092, 
4.95811, 0.000648, 0.011574, 4.83996, 0.006574, 
0, 0.000204, 0.005204, 3.37994, 0.006482, 
0, 0.000444, 0.005241, 3.38624, 0.006371, 
0, 0.000278, 0.00526, 2.92748, 0.006278, 
